Line_ModelName,Mode_Planned,Line_Name,Line_Description,Area
rail_18_1,Suburban Rail,Modiin-Jerusalem,מודיעין-ירושלים,National
rail_18_2,Suburban Rail,Jerusalem-Modiin,ירושלים-מודיעין,National
rail_14_1,Suburban Rail,Netanya-Jerusalem,נתניה-ירושלים,National
rail_14_2,Suburban Rail,Jerusalem-Netanya,ירושלים-נתניה,National
rail_13_1,Suburban Rail,Harish-Jerusalem,חריש-ירושלים,National
rail_13_2,Suburban Rail,Jerusalem-Harish,ירושלים-חריש,National
rail_2_1,HighSpeed Rail,Nahariya-Eilat,נהריה-אילת,National
rail_2_2,HighSpeed Rail,Eilat-Nahariya,אילת-נהריה,National
rail_9_1,HighSpeed Rail,Haifa-Beer Sheva,חיפה-באר שבע,National
rail_9_2,HighSpeed Rail,Beer Sheva-Haifa,באר שבע-חיפה,National
rail_8_1,HighSpeed Rail,Haifa-Jerusalem,חיפה-ירושלים,National
rail_8_2,HighSpeed Rail,Jerusalem-Haifa,ירושלים-חיפה,National
rail_3_1,Interurban Rail,Nahariya-Beer Sheva,נהריה-באר שבע,National
rail_3_2,Interurban Rail,Beer Sheva-Nahariya,באר שבע-נהריה,National
rail_4_1,Interurban Rail,Akko-Beer Sheva,עכו-באר שבע,National
rail_4_2,Interurban Rail,Beer Sheva-Akko,באר שבע-עכו,National
rail_5_1,Interurban Rail,Karmiel-Ashkelon,כרמיאל-אשקלון,National
rail_5_2,Interurban Rail,Ashkelon-Karmiel,אשקלון-כרמיאל,National
rail_21_1,Interurban Rail,Jerusalem-Beer Sheva,ירושלים-באר שבע,National
rail_21_2,Interurban Rail,Beer Sheva-Jerusalem,באר שבע-ירושלים,National
rail_1_1,Interurban Rail,Kiryat Shmona-Modiin,קרית שמונה-מודיעין,National
rail_1_2,Interurban Rail,Modiin-Kiryat Shmona,מודיעין-קרית שמונה,National
M1-KS-LOD,Metro,מטרו 1-1 - דרום,כפר סבא-לוד (דרך רעננה),Tel Aviv
M1-LOD-KS,Metro,מטרו 1-1 - צפון,לוד-כפר סבא (דרך רעננה),Tel Aviv
M1-RA-RE,Metro,מטרו 1-2 - דרום,רעננה-רחובות,Tel Aviv
M1-RE-RA,Metro,מטרו 1-2 - צפון,רחובות-רעננה,Tel Aviv
